t,CPU,RxKBTot,TxKBTot,WriteKBTot,Watts,Amps,RMS,diff_encoder_l,flag
161.5,26.5,1,0.5,0,98.83719999,0.623116,0.365768318,22.80001431,0
161.52,26.52,1,0.52,0,98.83519999,0.623056,0.405166633,19.19998951,0
161.54,26.54,1,0.54,0,98.83319999,0.622996,0.221418365,23.19999332,0
161.56,26.56,1,0.56,0,98.83119999,0.622936,0.225068558,25.36666619,0
161.58,26.58,1,0.58,0,98.82919999,0.622876,0.199325665,25.96666651,0
161.6,26.6,1,0.6,0,98.82719999,0.622816,0.316972141,25.29999921,0
161.62,26.62,1,0.62,0,98.82519999,0.622756,0.139333116,25,0
161.64,26.64,1,0.64,0,98.82319999,0.622696,0.191296987,25,0
161.66,26.66,1,0.66,0,98.82119999,0.622636,0.261359456,34.77773582,0
161.68,26.68,1,0.68,0,98.81919999,0.622576,0.151521449,44.55552292,0
161.7,26.7,1,0.7,0,98.81719999,0.622516,0.188069033,54.33331002,0
161.72,26.72,1,0.72,0,98.81519999,0.622456,0.181343111,64.11109712,0
161.74,26.74,1,0.74,0,98.81319999,0.622396,0.294016953,54.33334732,0
161.76,26.76,1,0.76,0,98.81119999,0.622336,0.072463356,25,0
161.78,26.78,1,0.78,0,98.80919999,0.622276,0.174004649,25,0
161.8,26.8,1,0.8,0,98.80719999,0.622216,0.243672842,24.66666508,0
161.82,26.82,1,0.82,0,98.80519999,0.622156,0.091757826,24.00000668,0
161.84,26.84,1,0.84,0,98.80319999,0.622096,0.152992499,26.00000858,0
161.86,26.86,1,0.86,0,98.80119999,0.622036,0.114575939,26.33333164,0
161.88,26.88,1,0.88,0,98.79839838,0.621975976,0.148838643,25.00000763,0
161.9,26.9,1,0.9,0,98.79439438,0.621915916,0.087521718,20.33335559,0
161.92,26.92,1,0.92,0,98.79039038,0.621855856,0.137735062,19.16665777,0
161.94,26.94,1,0.94,0,98.78638637,0.621795796,0.078721195,21.49999332,0
161.96,26.96,1,0.96,0,98.78238237,0.621735736,0.043783625,23.83332888,0
161.98,26.98,1,0.98,0,98.77837837,0.621675675,0.100294512,33.38710013,0
162,27,1,1,0,98.77437436,0.621615615,0.185757907,50.16134838,0
162.02,26.98,1,0.98,0.06,98.77037036,0.621555555,0.103976011,34.53325481,0
162.04,26.96,1,0.96,0.12,98.76636636,0.621495495,0.159025004,24.69999873,0
162.06,26.94,1,0.94,0.18,98.76236235,0.621435435,0.07970292,24.03333672,0
162.08,26.92,1,0.92,0.24,98.75835835,0.621375375,0.133946943,20.83334843,0
162.1,26.9,1,0.9,0.3,98.75435434,0.621315315,0.11230492,20.79998569,0
162.12,26.88,1,0.88,0.36,98.75035034,0.621255255,0.307276025,24.79998951,0
162.14,26.86,1,0.86,0.42,98.74634634,0.621195195,0.111656528,25,0
162.16,26.84,1,0.84,0.48,98.74234233,0.621135135,0.080975508,25,0
162.18,26.82,1,0.82,0.54,98.73833833,0.621075075,0.129342585,25,0
162.2,26.8,1,0.8,0.6,98.73433433,0.621015015,0.050461962,25,0
162.22,26.78,1,0.78,0.66,98.73033032,0.620954955,0.170914559,25,0
162.24,26.76,1,0.76,0.72,98.72632632,0.620894895,0.057304823,25,0
162.26,26.74,1,0.74,0.78,98.72232231,0.620834835,0.248429203,25,0
162.28,26.72,1,0.72,0.84,98.71831831,0.620774775,0.291555545,23.34484548,0
162.3,26.7,1,0.7,0.9,98.71431431,0.620714715,0.345667403,19.20692071,0
162.32,26.68,1,0.68,0.96,98.7103103,0.620654655,0.2674126,22.06450705,0
162.34,26.66,1,0.66,1.02,98.7063063,0.620594594,0.123581131,24.26666635,0
162.36,26.64,1,0.64,1.08,98.7023023,0.620534534,0.245561963,24.93333365,0
162.38,26.62,1,0.62,1.14,98.69829829,0.620474474,0.219066137,25,0
162.4,26.6,1,0.6,1.2,98.69429429,0.620414414,0.109662986,25,0
162.42,26.58,1,0.58,1.26,98.69029028,0.620354354,0.1409354,25,0
162.44,26.56,1,0.56,1.32,98.68628628,0.620294294,0.144327648,25,0
162.46,26.54,1,0.54,1.38,98.68228228,0.620234234,0.143001822,24.73333196,0
162.48,26.52,1,0.52,1.44,98.67827827,0.620174174,0.212592974,24.06666995,0
162.5,26.5,1,0.5,1.5,98.67427427,0.620114114,0.230555255,21.00001589,0
162.52,26.48,1,0.48,1.56,98.67027027,0.620054054,0.146339369,20.59998474,0
162.54,26.46,1,0.46,1.62,98.66626626,0.619993994,0.311127593,24.59998856,0
162.56,26.44,1,0.44,1.68,98.66226226,0.619933934,0.238990336,25,0
162.58,26.42,1,0.42,1.74,98.65825825,0.619873874,0.281773702,24.73333397,0
162.6,26.4,1,0.4,1.8,98.65425425,0.619813814,0.205338087,24.06666667,0
162.62,26.38,1,0.38,1.86,98.65025025,0.619753754,0.20654494,24.29508147,0
162.64,26.36,1,0.36,1.92,98.64624624,0.619693694,0.151987954,24.62294974,0
162.66,26.34,1,0.34,1.98,98.64224224,0.619633634,0.15588969,24.95081801,0
162.68,26.32,1,0.32,2.04,98.63823824,0.619573574,0.103041582,35.19994564,0
162.7,26.3,1,0.3,2.1,98.63423423,0.619513513,0.182855773,38.80004292,0
162.72,26.28,1,0.28,2.16,98.63023023,0.619453453,0.294175715,26.80003147,0
162.74,26.26,1,0.26,2.22,98.62622623,0.619393393,0.183903834,25,0
162.76,26.24,1,0.24,2.28,98.62222222,0.619333333,0.073203882,24.76666714,0
162.78,26.22,1,0.22,2.34,98.61821822,0.619273273,0.107664278,24.09999984,0
162.8,26.2,1,0.2,2.4,98.61421421,0.619213213,0.212517559,24.56666746,0
162.82,26.18,1,0.18,2.46,98.61021021,0.619153153,0.106109252,24.76666524,0
162.84,26.16,1,0.16,2.52,98.60620621,0.619093093,0.084152151,24.09999793,0
162.86,26.14,1,0.14,2.58,98.6022022,0.619033033,0.124075869,24,0
162.88,26.12,1,0.12,2.64,98.59910269,0.618982054,0.136000007,22.83332592,0
162.9,26.1,1,0.1,2.7,98.59710867,0.618942173,0.215284319,19.50001589,0
162.92,26.08,1,0.08,2.76,98.59511466,0.618902293,0.155775696,21.74192566,0
162.94,26.06,1,0.06,2.82,98.59312064,0.618862413,0.237884838,24.19999968,0
162.96,26.04,1,0.04,2.88,98.59112662,0.618822532,0.257403962,24.86666698,0
162.98,26.02,1,0.02,2.94,98.5891326,0.618782652,0.173067426,24.46666571,0
163,26,1,0,3,98.58713858,0.618742772,0.121148482,24.20000159,0
163.02,26,1,0.02,2.94,98.58514457,0.618702891,0.151698717,24.86666889,0
163.04,26,1,0.04,2.88,98.58315055,0.618663011,0.196054519,24.46666381,0
163.06,26,1,0.06,2.82,98.58115653,0.618623131,0.141497526,26.93337685,0
163.08,26,1,0.08,2.76,98.57916251,0.61858325,0.124544812,36.71113805,0
163.1,26,1,0.1,2.7,98.5771685,0.61854337,0.22060735,46.48889925,0
163.12,26,1,0.12,2.64,98.57517448,0.61850349,0.223441094,56.26666045,0
163.14,26,1,0.14,2.58,98.57318046,0.618463609,0.103824967,66.04442165,0
163.16,26,1,0.16,2.52,98.57118644,0.618423729,0.104861084,44.53338928,0
163.18,26,1,0.18,2.46,98.56919242,0.618383848,0.128028836,24.19999936,0
163.2,26,1,0.2,2.4,98.56719841,0.618343968,0.091718912,24.86666667,0
163.22,26,1,0.22,2.34,98.56520439,0.618304088,0.145512444,24.46666603,0
163.24,26,1,0.24,2.28,98.56321037,0.618264207,0.174492145,24.19354858,0
163.26,26,1,0.26,2.22,98.56121635,0.618224327,0.19201307,24.83870701,0
163.28,26,1,0.28,2.16,98.55922233,0.618184447,0.174655163,21.50002114,0
163.3,26,1,0.3,2.1,98.55722832,0.618144566,0.269475799,19.16664998,0
163.32,26,1,0.32,2.04,98.5552343,0.618104686,0.2558717,23.83332109,0
163.34,26,1,0.34,1.98,98.55324028,0.618064806,0.209198077,24.75000056,0
163.36,26,1,0.36,1.92,98.55124626,0.618024925,0.268298905,24.41666691,0
163.38,26,1,0.38,1.86,98.54925224,0.617985045,0.219691639,24.08333325,0
