t,CPU,RxKBTot,TxKBTot,WriteKBTot,Watts,Amps,RMS,diff_encoder_l,flag
145.28,1,1,1,0.84,93.33207548,0.59,0.177085046,19.30000095,0
145.3,1,1,1,0.9,93.33008938,0.59,0.141458993,19.96666296,0
145.32,1,1,1,0.96,93.32810328,0.59,0.184573856,20,0
145.34,1,1,1,1.02,93.32611719,0.59,0.140847411,18.66666826,0
145.36,1,1,1,1.08,93.32413109,0.59,0.262289177,15.33333174,0
145.38,1,1,1,1.14,93.32214499,0.59,0.138535584,17.40000381,0
145.4,1,1,1,1.2,93.3201589,0.59,0.090182015,19.26666826,0
145.42,1,1,1,1.26,93.3181728,0.59,0.11991979,19.93333556,0
145.44,1,1,1,1.32,93.3161867,0.59,0.237361332,19.39999714,0
145.46,1,1,1,1.38,93.3142006,0.59,0.280641588,19.26666804,0
145.48,1,1,1,1.44,93.31221451,0.59,0.125208344,19.93333005,0
145.5,1,1,1,1.5,93.31022841,0.59,0.246050699,19.40000318,0
145.52,1,1,1,1.56,93.30824231,0.59,0.23532944,19.26666412,0
145.54,1,1,1,1.62,93.30625622,0.59,0.191476178,19.93333143,0
145.56,1,1,1,1.68,93.30427012,0.59,0.208068472,17.00000636,0
145.58,1,1,1,1.74,93.30228402,0.59,0.239547164,16.06666412,0
145.6,1,1,1,1.8,93.30029793,0.59,0.15109919,18.73333333,0
145.62,1,1,1,1.86,93.2982863,0.59,0.135503658,19.60000064,0
145.64,1,1,1,1.92,93.29627017,0.59,0.061556192,19.73333206,0
145.66,1,1,1,1.98,93.29425404,0.59,0.166855329,19.06666476,0
145.68,1,1,1,2.04,93.29223791,0.59,0.174462199,19.5806445,0
145.7,1,1,1,2.1,93.29022178,0.59,0.259736542,19.76666905,0
145.72,1,1,1,2.16,93.28820566,0.59,0.125258894,19.10000175,0
145.74,1,1,1,2.22,93.28618953,0.59,0.193717773,16.73333778,0
145.76,1,1,1,2.28,93.2841734,0.59,0.172181947,16.16666428,0
145.78,1,1,1,2.34,93.28215727,0.59,0.222810391,19.50000079,0
145.8,1,1,1,2.4,93.28014114,0.59,0.128779029,19.43333254,0
145.82,1,1,1,2.46,93.27812501,0.59,0.184790607,19.11666738,0
145.84,1,1,1,2.52,93.27610888,0.59,0.299879103,19.45000103,0
145.86,1,1,1,2.58,93.27409275,0.59,0.166003243,19.78333468,0
145.88,1,1,1,2.64,93.27207662,0.59,0.082832388,24.43336152,0
145.9,1,1,1,2.7,93.27006049,0.59,0.18944122,37.0999396,0
145.92,1,1,1,2.76,93.26804436,0.59,0.319217047,24.83341678,0
145.94,1,1,1,2.82,93.26602823,0.59,0.23975361,15.39998379,0
145.96,1,1,1,2.88,93.2640121,0.59,0.142172852,19.3999876,0
145.98,1,1,1,2.94,93.26199597,0.59,0.131599768,19.45161302,0
146,1,1,1,3,93.25997984,0.59,0.168901323,19,0
146.02,1,1,1,2.94,93.25796372,0.59,0.172981111,19,0
146.04,1,1,1,2.88,93.25594759,0.59,0.188312273,19.53333619,0
146.06,1,1,1,2.82,93.25393146,0.59,0.172100295,19.79999809,0
146.08,1,1,1,2.76,93.25191533,0.59,0.062257606,19.13333609,0
146.1,1,1,1,2.7,93.2498992,0.59,0.056990007,19,0
146.12,1,1,1,2.64,93.24788307,0.59,0.111172494,18.20001017,0
146.14,1,1,1,2.58,93.24586694,0.59,0.191910977,15.53334096,0
146.16,1,1,1,2.52,93.24385081,0.59,0.104671274,17.66666031,0
146.18,1,1,1,2.46,93.24183468,0.59,0.130831913,19.80000064,0
146.2,1,1,1,2.4,93.23981855,0.59,0.080280881,19.13333333,0
146.22,1,1,1,2.34,93.23780242,0.59,0.076223366,19,0
146.24,1,1,1,2.28,93.23578629,0.59,0.226592028,19.17241715,0
146.26,1,1,1,2.22,93.23377016,0.59,0.051400475,19.86207128,0
146.28,1,1,1,2.16,93.23175403,0.59,0.228676595,19.48387129,0
146.3,1,1,1,2.1,93.22973791,0.59,0.225500808,18.31035072,0
146.32,1,1,1,2.04,93.22772178,0.59,0.082346645,15.55171153,0
146.34,1,1,1,1.98,93.22570565,0.59,0.187306919,17.06452224,0
146.36,1,1,1,1.92,93.22368952,0.59,0.173827343,19,0
146.38,1,1,1,1.86,93.22167339,0.59,0.060682874,19,0
146.4,1,1,1,1.8,93.21965726,0.59,0.2092323,19,0
146.42,1,1,1,1.74,93.21764113,0.59,0.268908107,19.1666681,0
146.44,1,1,1,1.68,93.215625,0.59,0.092853281,19.8333354,0
146.46,1,1,1,1.62,93.21360887,0.59,0.189743706,19.4999973,0
146.48,1,1,1,1.56,93.21159274,0.59,0.123813433,18.1666566,0
146.5,1,1,1,1.5,93.20957661,0.59,0.065853209,14.83334658,0
146.52,1,1,1,1.44,93.20756048,0.59,0.166237099,16.49998331,0
146.54,1,1,1,1.38,93.20554435,0.59,0.192820663,19.08333198,0
